,Județ,26
0,Alba,35
1,Arad,47
2,Argeș,33
3,Bacău,67
4,Bihor,65
5,Bistrița-Năsăud,20
6,Botoșani,71
7,Brașov,132
8,Brăila,16
9,Buzău,14
10,Caraș-Severin,9
11,Călărași,15
12,Cluj,76
13,Constanța,76
14,Covasna,11
15,Dâmbovița,59
16,Dolj,63
17,Galați,92
18,Giurgiu,25
19,Gorj,31
20,Harghita,17
21,Hunedoara,76
22,Ialomița,20
23,Iași,109
24,Ilfov,78
25,Maramureș,133
26,Mehedinți,19
27,Mureș,43
28,Neamț,55
29,Olt,30
30,Prahova,71
31,Satu,59
32,Sălaj,29
33,Sibiu,28
34,Suceava,112
35,Teleorman,66
36,Timiș,174
37,Tulcea,12
38,Vaslui,32
39,Vâlcea,49
40,Vrancea,21
41,Mun.,310
